company_name,siren_number,nic_number,legal_form,ape_code,address,postal_code,city,region,registration_date,deregistration_date,closing_date_2018_1,revenue_2018_1,turnover_2018_1,closing_date_2018_2,revenue_2018_2,turnover_2018_2,closing_date_2018_3,revenue_2018_3,turnover_2018_3,closing_date_2019_1,revenue_2019_1,turnover_2019_1,closing_date_2019_2,revenue_2019_2,turnover_2019_2,closing_date_2019_3,revenue_2019_3,turnover_2019_3,closing_date_2020_1,revenue_2020_1,turnover_2020_1,closing_date_2020_2,revenue_2020_2,turnover_2020_2,closing_date_2020_3,revenue_2020_3,turnover_2020_3,closing_date_2021_1,revenue_2021_1,turnover_2021_1,closing_date_2021_2,revenue_2021_2,turnover_2021_2,closing_date_2021_3,revenue_2021_3,turnover_2021_3,closing_date_2022_1,revenue_2022_1,turnover_2022_1,closing_date_2022_2,revenue_2022_2,turnover_2022_2,closing_date_2022_3,revenue_2022_3,turnover_2022_3,industry_sector,phone_number,website,reviews,schedule,instagram,facebook,twitter,linkedin,youtube,email,scraping_date,siren,dateCreationUniteLegale,dateDernierTraitementUniteLegale,nombrePeriodesUniteLegale,categorieEntreprise
NO LIMIT ROYAN,914728746,19.0,Société par actions simplifiée,0000Z,4 B BOULEVARD DU 5 JANVIER 1945,17200.0,ROYAN,Aquitaine-Limousin-Poitou-Charentes,2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,914728746.0,2022-06-21,2024-03-22T14:26:06,2.0,
LA 3EME MI TEMPS,918404344,15.0,Société à responsabilité limitée,0000Z,10 RUE DE LA REPUBLIQUE,42220.0,BOURG ARGENTAL,Auvergne-Rhône-Alpes,2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,918404344.0,2022-08-16,2024-03-22T14:26:06,2.0,
O SYPHAX,921719902,14.0,Société par actions simplifiée à associé unique,0000Z,119 COURS JEAN JAURES,38000.0,GRENOBLE,Auvergne-Rhône-Alpes,2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,921719902.0,2022-11-25,2024-03-22T14:26:06,3.0,
BASTEAM,820863967,15.0,Societe par actions simplifiee,0000Z,10 MAIL PIERRE DESPROGES,93500.0,PANTIN,Ile-de-France,2016-06-10,2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,820863967.0,2016-06-10,2024-03-22T14:26:06,2.0,
L'ENTRACTE,898217443,16.0,Societe par actions simplifiee,0000Z,53 AVENUE DE LA MEDITERRANEE,34340.0,MARSEILLAN,Languedoc-Roussillon-Midi-Pyrénées,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,898217443.0,2021-04-14,2024-03-22T14:26:06,2.0,PME
MELISA,844150474,14.0,Societe a responsabilite limitee,0000Z,15 BOULEVARD DE LA REPUBLIQUE,93130.0,NOISY LE SEC,Ile-de-France,2018-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,844150474.0,2018-11-26,2024-07-03T08:26:00,3.0,PME
PANIER FRAIS CEVENOL,921714291,17.0,Société à responsabilité limitée à associé unique,0000Z,2 LOTISSEMENT LE SEUIL D ALES,30340.0,ROUSSON,Languedoc-Roussillon-Midi-Pyrénées,2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,921714291.0,2022-11-23,2024-07-18T05:18:51,2.0,
BJ TAXI,902631647,10.0,Societe a responsabilite limitee,0000Z,5 RUE DES GLAIEULS,62970.0,COURCELLES LES LENS,Nord-Pas-de-Calais-Picardie,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,902631647.0,2021-08-26,2024-03-22T14:26:06,2.0,PME
LES 2 AMIS,844150045,12.0,Societe a responsabilite limitee,0000Z,15 BOULEVARD MOLINARI,13008.0,MARSEILLE,Provence-Alpes-Côte d'Azur,2018-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,844150045.0,2018-11-26,2024-03-22T14:26:06,1.0,
UN AIR DE FAMILLE,877517235,17.0,Societe a responsabilite limitee,0000Z,1252 AVENUE DU PARC DES EXPOSITIONS,33260.0,LA TESTE DE BUCH,Aquitaine-Limousin-Poitou-Charentes,2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,877517235.0,2019-09-25,2024-03-22T14:26:06,2.0,PME
CEMA,902480748,18.0,Societe par actions simplifiee,0000Z,3 PLACE DU 18 NOVEMBRE,57420.0,SOLGNE,Alsace-Champagne-Ardenne-Lorraine,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN INSTANCE DE CHIFFREMENT,,,,,,,,,,,,902480748.0,2021-08-17,2024-03-22T14:26:06,2.0,PME
