company_name;siren_number;nic_number;legal_form;ape_code;address;postal_code;city;region;registration_date;deregistration_date;closing_date_2018_1;revenue_2018_1;turnover_2018_1;closing_date_2018_2;revenue_2018_2;turnover_2018_2;closing_date_2018_3;revenue_2018_3;turnover_2018_3;closing_date_2019_1;revenue_2019_1;turnover_2019_1;closing_date_2019_2;revenue_2019_2;turnover_2019_2;closing_date_2019_3;revenue_2019_3;turnover_2019_3;closing_date_2020_1;revenue_2020_1;turnover_2020_1;closing_date_2020_2;revenue_2020_2;turnover_2020_2;closing_date_2020_3;revenue_2020_3;turnover_2020_3;closing_date_2021_1;revenue_2021_1;turnover_2021_1;closing_date_2021_2;revenue_2021_2;turnover_2021_2;closing_date_2021_3;revenue_2021_3;turnover_2021_3;closing_date_2022_1;revenue_2022_1;turnover_2022_1;closing_date_2022_2;revenue_2022_2;turnover_2022_2;closing_date_2022_3;revenue_2022_3;turnover_2022_3;industry_sector;phone_number;website;reviews;schedule;instagram;facebook;twitter;linkedin;youtube;email;scraping_date;date_creation;last_processing_date;number_of_employee;company_category
CLINIQUE CHIRURGICALE D ATHIS;303845325.0;16.0;Societe par actions simplifiee;8610Z;38 AVENUE JULES VALLES;91200.0;ATHIS MONS;Ile-de-France;1957-01-05;;2018-12-31;9006483.0;237179.0;2017-12-31;7840139.0;89594.0;2016-12-31;7997654.0;154438.0;2019-12-31;9376597.0;336073.0;2018-12-31;9006483.0;237179.0;2017-12-31;7840139.0;89594.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1957-01-01;2024-03-22T14:26:06;5.0;ETI
SOCADE;316753102.0;102.0;Societe a responsabilite limitee;4649Z;45 AVENUE VICTOR HUGO;93300.0;AUBERVILLIERS;Ile-de-France;1989-12-20;;2018-12-31;6180350.0;19590.0;2017-12-31;5968332.0;24158.0;2016-12-31;8669008.0;-26279.0;2019-12-31;9567504.0;-8368.0;2018-12-31;6180350.0;19590.0;2017-12-31;5968332.0;24158.0;2020-12-31;8103088.0;16464.0;2019-12-31;9567504.0;-8368.0;2018-12-31;6180350.0;19590.0;2021-12-31;9424945.0;24093.0;2020-12-31;8103088.0;16464.0;2019-12-31;9567504.0;-8368.0;;;;;;;;;;;;;;;;;;;;;;1973-01-01;2024-03-22T14:26:06;7.0;PME
JACLEM;316826452.0;39.0;Societe a responsabilite limitee;4652Z;37 RUE DE LA HAIE COQ;93300.0;AUBERVILLIERS;Ile-de-France;1991-12-02;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;1979-01-01;2024-03-22T14:26:06;4.0;PME
RAVE;323391045.0;16.0;Societe par actions simplifiee;4511Z;ROUTE NATIONALE 20;91630.0;AVRAINVILLE;Ile-de-France;1981-12-31;;2018-12-31;16024616.0;329086.0;2017-12-31;14833257.0;253460.0;2016-12-31;15029906.0;589093.0;2019-12-31;20662837.0;782162.0;2018-12-31;16024616.0;329086.0;2017-12-31;14833257.0;253460.0;2020-12-31;19240766.0;433941.0;2019-12-31;20662837.0;782162.0;2018-12-31;16024616.0;329086.0;2021-12-31;24488693.0;775811.0;2020-12-31;;;2019-12-31;20662837.0;782162.0;2022-12-31;25587787.0;1074220.0;2021-12-31;24488693.0;775811.0;2020-12-31;;;;;;;;;;;;;;;1981-10-01;2024-03-22T14:26:06;7.0;ETI
NOELEC;339271777.0;49.0;Societe par actions simplifiee;4321A;4 ALLEE DE L AVENIR;94420.0;LE PLESSIS TREVISE;Ile-de-France;1986-12-15;;2018-12-31;;;2017-12-31;129055.0;11394.0;2016-12-31;154122.0;17319.0;2019-12-31;;;2018-12-31;;;2017-12-31;129055.0;11394.0;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;2022-12-31;;;2021-12-31;;;2020-12-31;;;;;;;;;;;;;;;1986-11-03;2024-03-22T14:26:06;4.0;PME
SOCIETE LUCEENNE DE TRANSPORT MASSOUF;420627465.0;16.0;Societe a responsabilite limitee;4941B;QUARTIER EPINAY;97228.0;STE LUCE;Martinique;1998-10-29;;2018-12-31;159957.0;10662.0;2017-12-31;;;2016-12-31;202688.0;20739.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1998-11-01;2024-03-22T14:26:06;3.0;PME
GRANGE PAYSANNE;431657204.0;19.0;Societe a responsabilite limitee;5610A;34 FAUBOURG DU MARECHAL CLARKE;67330.0;NEUWILLER LES SAVERNE;Alsace-Champagne-Ardenne-Lorraine;2000-08-17;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000-05-01;2024-03-22T14:26:06;5.0;PME
HELLEBOID PAYSAGE;494603194.0;15.0;Societe a responsabilite limitee;9609Z;25 SENTIER DES COMMUNES;62910.0;SERQUES;Nord-Pas-de-Calais-Picardie;2007-03-05;;2018-12-31;106114.0;16545.0;2017-12-31;106379.0;19101.0;2016-12-31;98895.0;23176.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2007-01-26;2024-03-22T14:26:06;4.0;
LES DEUX MON CAPITAINE;498100023.0;23.0;Societe a responsabilite limitee;5911B;2 RUE MARDELLE;77910.0;BARCY;Ile-de-France;2012-06-28;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2007-05-04;2024-06-21T09:53:12;5.0;PME
TOOFOOT S.A.S.;499425494.0;14.0;Societe par actions simplifiee;6201Z;91 RUE DU FAUBOURG SAINT HONORE;75008.0;PARIS;Ile-de-France;2007-08-08;;2018-12-31;237902.0;52593.0;2017-12-31;178042.0;7612.0;2016-12-31;201380.0;13155.0;2019-12-31;293025.0;79013.0;2018-12-31;237902.0;52593.0;2017-12-31;178042.0;7612.0;2020-12-31;348470.0;91157.0;2019-12-31;293025.0;79013.0;2018-12-31;237902.0;52593.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2007-08-02;2024-03-22T14:26:06;3.0;PME
Eric Dupont Consulting;500014865.0;17.0;Societe a responsabilite limitee a associe unique;7022Z;4 RUE HENRI DUCHENE;75015.0;PARIS;Ile-de-France;2007-09-17;;2018-10-31;;;2017-10-31;;;2016-10-31;;;2019-10-31;;;2018-10-31;;;2017-10-31;;;2020-10-31;;;2019-10-31;;;2018-10-31;;;2021-10-31;;;2020-10-31;;;2019-10-31;;;;;;;;;;;;;;;;;;;;;;;;2007-09-11;2024-03-22T14:26:06;2.0;PME
GARDIEN & CIE;509402061.0;22.0;Societe a responsabilite limitee;8110Z;20 ALLEE DES TERRASSES DES PINS;1600.0;TREVOUX;Auvergne-Rhône-Alpes;2017-08-08;;2018-09-30;;;2017-09-30;;;;;;2019-09-30;;;2018-09-30;;;2017-09-30;;;2020-09-30;;;2019-09-30;;;2018-09-30;;;2021-09-30;;;2020-09-30;;;2019-09-30;;;;;;;;;;;;;;;;;;;;;;;;2008-11-17;2024-03-22T14:26:06;3.0;PME
CATANA;520136086.0;37.0;Societe par actions simplifiee;6420Z;RUE DE LITTRY;14230.0;ISIGNY SUR MER;Normandie;2015-01-02;;2018-12-31;;;2017-12-31;;;2016-12-31;0.0;312520.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2009-12-11;2024-03-22T14:26:06;4.0;PME
EURL AA GARDEN SERVICES;523227312.0;15.0;Societe a responsabilite limitee a associe unique;8130Z;LIEU DIT LES LANDYSSES;24270.0;LANOUAILLE;Aquitaine-Limousin-Poitou-Charentes;2010-06-22;;2018-12-31;;;2017-12-31;;;2016-12-31;;;2019-12-31;;;2018-12-31;;;2017-12-31;;;2020-12-31;;;2019-12-31;;;2018-12-31;;;2021-12-31;;;2020-12-31;;;2019-12-31;;;;;;;;;;;;;;;;;;;;;;;;2010-07-01;2024-03-22T14:26:06;1.0;PME
